,PLATFORM,PROB NAME,DIFF_SCORE,DIFF_LEVEL,PROB_STMNT_PICS,TEST_CASES,SOLN_EXTS,STATUS,PROB_LINK,ISSUE
0,codechef,500--DIFF800--AVGPROBLEM,500.0,,3,2,"['go', 'py']",PASS,,
1,codechef,504--DIFF800--SUBSCRIBE_,504.0,,3,1,"['go', 'py']",PASS,,
2,codechef,513--DIFF800--JASSIGNMENTS,513.0,,3,1,"['go', 'py']",PASS,,
3,codechef,519--DIFF800--EXAMCHEF,519.0,,1,1,"['go', 'py']",PASS,,
4,codechef,532--DIFF800--OFFICE,532.0,,1,2,"['go', 'py']",PASS,,
5,codechef,878--LP1TO201--CHFRICH,878.0,,1,1,"['go', 'py']",PASS,,
6,codewars,06--514b92a657cdc65150000006--Multiples-of-3-or-5,6.0,,1,2,"['go', 'py']",PASS,https://www.codewars.com/kata/514b92a657cdc65150000006,
7,codewars,07--5a05fe8a06d5b6208e00010b--Sequence-to-1,7.0,,1,1,['py'],PASS,https://www.codewars.com/kata/5a05fe8a06d5b6208e00010b,
8,hacker-earth,E--minimum-length-4-945227e2,,EASY,2,1,"['go', 'py']",PASS,,
9,hacker-earth,M--count-valid-pairs-2-da02a8f2,,MEDIUM,2,1,"['go', 'py']",PASS,,
10,hacker-rank,A--50--reverse-shuffle-merge,50.0,ADVANCED,4,3,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/reverse-shuffle-merge/problem?isFullScreen=false,
11,hacker-rank,A--70--team-formation,70.0,ADVANCED,2,1,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/team-formation/problem?isFullScreen=false,
12,hacker-rank,E--01--solve-me-first,1.0,EASY,1,2,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/solve-me-first/problem?isFullScreen=false,
13,hacker-rank,E--10--a-very-big-sum,10.0,EASY,1,1,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/a-very-big-sum/problem?isFullScreen=false,
14,hacker-rank,E--10--apple-and-orange,10.0,EASY,3,1,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/apple-and-orange/problem?isFullScreen=false,
15,hacker-rank,E--10--between-two-sets,10.0,EASY,2,2,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/between-two-sets/problem?isFullScreen=false,
16,hacker-rank,E--10--birthday-cake-candles,10.0,EASY,1,1,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/birthday-cake-candles/problem?isFullScreen=false,
17,hacker-rank,E--10--bon-appetit,10.0,EASY,3,2,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/bon-appetit/problem?isFullScreen=false,
18,hacker-rank,E--10--breaking-best-and-worst-records,10.0,EASY,3,2,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/breaking-best-and-worst-records/problem?isFullScreen=false,
19,hacker-rank,E--10--compare-the-triplets,10.0,EASY,3,2,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/compare-the-triplets/problem?isFullScreen=false,
20,hacker-rank,E--10--diagonal-difference,10.0,EASY,2,1,"['go', 'py']",PASS,https://www.hackerrank.com/challenges/diagonal-difference/problem?isFullScreen=false,
